4,8441612,84-7430966,Annabela,1994,Eagle,Summit,Gaynor,Brainbox,OFF,22,76.68,12.12
5,4627140,47-3559841,Parnell,1995,Honda,Odyssey,Bartlett,Tagcat,ON,31,74.629997,24.879999
6,6661809,33-0660915,Yvon,2003,Mercedes-Benz,SLK-Class,Blithe,Jaxnation,OFF,86,73.300003,16.994444
7,2587345,72-7442910,Orlando,2000,Lexus,LX,Kirstin,Skyndu,ON,57,72.849998,19.155001
8,2612813,00-6194183,Janette,2006,Suzuki,Verona,Carry,Oyonder,ON,50,73.055,24.7945
9,9929938,85-3376468,Sutherlan,1965,Ford,Thunderbird,Beau,Zazio,ON,34,81.629997,21.25
10,615930,40-2110173,Andris,2000,Volvo,C70,Collie,Blogtag,ON,72,74.833298,16.1667
11,9487655,15-0704499,Karin,1998,Mercedes-Benz,CL-Class,Cassie,Jabbercube,OFF,98,77.06971,28.679079
12,5805606,51-2502570,Reider,2008,Cadillac,STS,Sidonnie,Voolia,ON,84,72.877426,19.07609
13,1226598,26-6101542,Nessie,1993,Mercedes-Benz,300D,Alan,Katz,ON,35,75.040298,14.16704
14,3660623,79-5975232,Barnebas,2006,Audi,A8,Anny,Photolist,OFF,74,88.719391,26.540457
15,1797622,09-6813240,Madel,2008,Mazda,Mazdaspeed 3,Corrina,Quatz,ON,70,87.849251,24.633568
16,2290841,55-2638443,Annaliese,2009,Chevrolet,Impala,Arline,Rhyloo,ON,93,74.493011,28.440554
17,1606101,03-9969779,Sanford,1993,Ford,Explorer,Freddie,Buzzdog,OFF,59,72.858894,24.882618
18,5010299,95-1223237,Cristal,2005,Lexus,SC,Brandie,Trudoo,ON,55,74.556374,16.779877
19,9724792,31-8530191,Nevsa,2008,GMC,Savana,Glynn,Jetwire,OFF,91,77.281296,12.715035
20,3418191,25-9602655,Der,2007,Ford,F250,Napoleon,Quimba,OFF,91,77.727478,13.432515
21,103181,48-9052066,Skyler,2012,Toyota,Corolla,Reese,Kimia,ON,79,77.208946,12.651805
22,9510679,02-1555182,Willis,2005,Chrysler,300C,Helli,Vinder,OFF,35,71.637077,22.728392
23,7378988,42-7478606,Erica,1999,Dodge,Ram 3500,Sabine,Twinder,OFF,50,76.574059,9.383452
24,8635301,72-8114708,Roxi,1984,Honda,Prelude,Marysa,Zooxo,OFF,38,75.621788,14.623801
25,6517485,37-2399064,Akim,1984,Mercury,Lynx,Deeanne,Oyope,OFF,55,79.838005,10.92544
26,564473,66-1153282,June,2013,Lincoln,MKX,Parke,Mydo,OFF,55,74.498703,15.852792
27,5252894,70-0126725,Eunice,2004,Infiniti,FX,Priscella,Photospace,ON,92,84.986732,19.354979
28,8499785,86-0478457,Jacquelynn,1994,Land Rover,Defender 90,Doug,Cogilith,OFF,22,87.52462,23.905445
29,3077641,36-8296579,Darrell,2009,Ferrari,California,Sallee,Kayveo,ON,84,85.824539,20.296059
30,3261220,21-0894645,Enrique,1999,Isuzu,Hombre Space,Madella,Leenti,ON,91,71.771645,21.105001
31,1108941,52-3111935,Corenda,1987,Mercedes-Benz,S-Class,Adolpho,Eazzy,ON,27,77.299492,30.172716
32,8659274,09-4444499,Barth,2005,Saturn,VUE,Andie,Skynoodle,OFF,62,85.709091,25.477585
33,1381431,43-2547552,Archibaldo,1997,Chevrolet,Tahoe,Sarajane,Dabjam,ON,29,75.801094,21.045521
34,7642250,24-4171693,Cacilia,1999,Dodge,Caravan,Hanson,Eimbee,OFF,71,89.5271,26.49189
35,5062087,99-2178823,Idette,1993,Dodge,Spirit,Juliann,Quaxo,OFF,29,76.614143,8.893212
36,1551805,27-2959709,Fanchette,1997,Holden,VS Commodore,Prescott,Minyx,ON,31,87.321487,22.430889
37,3884134,80-6289328,Aloisia,1994,Mercury,Topaz,Florri,Leenti,OFF,84,72.126625,23.849325
38,6547003,51-7831680,Erhard,1992,Dodge,D150,Filberte,Fiveclub,OFF,74,77.800781,11.786253
39,742911,00-7011992,Shelley,2004,GMC,Yukon XL 1500,Marleah,Jetpulse,OFF,12,76.540154,13.583274
40,3501755,72-8290775,Queenie,2011,Land Rover,LR4,Nicolea,Mymm,OFF,32,75.801094,14.530457
41,3087676,92-7290966,Maris,2006,Subaru,Outback,Norby,Feedspan,ON,29,73.176132,18.901457
42,3066979,90-5225789,Roze,2002,GMC,Envoy XL,Sherie,Leexo,ON,49,88.567406,22.96051
43,2819525,95-8674929,Arda,2007,Lincoln,Town Car,Clerissa,Edgetag,OFF,9,76.192696,15.756595
44,5729940,07-5102420,Leese,2012,Ford,E350,Judon,Demizz,OFF,99,86.352882,22.656015
45,7085335,49-4162565,Yorke,2003,Saab,09-May,Marie,Dablist,ON,37,79.450035,25.989836
46,2278153,29-5978660,Jonis,1992,Pontiac,Sunbird,Willdon,Mycat,ON,17,82.87056,23.223047
47,7993500,63-7266746,Millard,2008,Ford,F-Series Super Duty,Kalle,Bubbletube,OFF,47,73.191948,19.186354
48,9303307,63-8410430,Chantal,2000,Jaguar,XJ Series,Pauli,Flashdog,ON,12,75.890121,30.525005
49,60716,99-4779952,Lizbeth,2010,Ford,Escape,Justine,Linklinks,ON,33,85.760651,22.422455
50,946884,24-9102158,Jillie,2005,Pontiac,Grand Prix,Chic,Agimba,OFF,59,83.395554,18.106659
51,5159027,09-5687418,Padgett,1971,Chevrolet,Vega,Benni,Devify,OFF,92,81.28492,21.190449
52,6919309,76-8884336,Bard,2010,Ford,Focus,Fanny,Yadel,OFF,8,72.969818,23.597969
53,3366611,79-6710618,Barclay,2001,Porsche,911,Felicity,Skiptube,OFF,21,78.571762,28.590361
54,5763512,64-2190685,Tabbatha,2000,Mercedes-Benz,CLK-Class,Leoline,Jetpulse,ON,30,85.53006,25.369179
55,3525563,38-6741593,Delphinia,2012,Ford,E350,Lea,Voonte,OFF,89,92.726486,11.623377
56,8795031,53-9680139,Shani,1990,Lamborghini,Diablo,Gaultiero,Feedfish,OFF,92,88.024338,24.618393
57,9629528,73-4875743,Celie,2003,Isuzu,Rodeo Sport,Farly,Dabjam,ON,13,74.43383,23.546757
58,468917,89-0184270,Fabien,1994,Volvo,960,Candy,Dynava,ON,17,41.6399,41.643414
59,7099246,38-7627614,Yard,2002,Volkswagen,Jetta,Dylan,Lazz,ON,57,87.900375,25.077787
60,2559545,62-3446755,Danika,2002,Lamborghini,Murci?lago,Linell,Oyoyo,ON,46,77.888,29.854263
61,143390,29-5811107,Lucien,1984,Ford,EXP,Amil,Kazio,OFF,31,79.992981,14.913181
62,1923629,77-6227058,Pepita,2005,Scion,tC,Marnia,Zoomdog,ON,41,77.712616,14.413745
63,818854,88-0620037,Stephanie,1996,Mitsubishi,Chariot,Morey,Skibox,OFF,16,78.852074,18.101904
64,74791,84-7535740,Wren,2004,BMW,530,Winny,Voolith,ON,88,81.565125,23.173939
65,3798384,00-1674560,Merissa,2010,Dodge,Charger,Franky,Twitterbeat,OFF,52,80.355377,15.812074
66,10508,80-6333714,Markos,1996,GMC,Safari,Dehlia,Fliptune,OFF,57,79.259491,15.764501
67,8983660,80-6318330,Bren,2003,Mazda,B-Series,Umeko,Layo,ON,97,76.331978,10.311879
68,3343167,54-9772959,Giraldo,2010,Nissan,Altima,Kacie,Avamm,OFF,15,70.792297,21.961946
69,2140154,35-6533992,Celinka,2010,Toyota,Avalon,Stepha,Trudeo,OFF,75,81.52124,16.544893
70,7141737,06-3841073,Dory,1995,Ford,Probe,Chelsie,Meezzy,OFF,74,76.532028,21.04954
71,2479952,43-6921796,Emelita,2004,Volkswagen,GTI,Jon,Aimbu,ON,42,91.754723,26.182245
72,944196,81-5397682,Evaleen,1995,Toyota,Corolla,Camile,Tagopia,ON,21,77.384117,27.897551
73,9574898,94-5323511,Wilt,1989,Ford,Bronco II,Algernon,Feedfish,ON,83,76.505356,18.245655
74,3627153,95-2781614,Collen,1993,BMW,M5,Nathanael,Npath,ON,84,75.659157,23.486839
75,4839517,16-4723375,Wolfy,1989,Mercury,Cougar,Thayne,Flipstorm,ON,46,75.405334,32.041943
76,9564200,22-3490293,Thadeus,1996,GMC,2500,Blayne,Wordify,ON,81,85.688744,24.47438
77,6840600,83-5728750,Mandie,2008,Infiniti,QX,Ilyssa,Buzzdog,OFF,15,87.287018,23.427221
78,9044341,37-0530754,Cris,2009,Subaru,Tribeca,Kylen,Edgewire,ON,100,75.380768,19.487707
79,3282108,98-2859231,Yanaton,1987,Mazda,B2600,Hubert,Podcat,OFF,84,74.000633,19.85306
80,311617,61-0062982,Fraze,2010,Saab,09-Mar,Terencio,Tazzy,ON,23,77.373627,15.167409
81,7215156,41-3235659,Suzanne,2006,Mercedes-Benz,G-Class,Thorn,Photospace,OFF,13,88.250343,24.417534
82,375754,34-9012140,Wilek,1989,Mitsubishi,L300,Chelsie,Meevee,ON,42,77.736969,22.744108
83,5332760,09-1409483,Cammi,1998,Ford,Econoline E350,Kimble,Quamba,OFF,16,78.552757,14.752805
84,8822847,17-6885366,Sheridan,1993,Land Rover,Range Rover,Dayle,Jabberbean,OFF,17,87.311897,23.520399
85,8135885,28-5489538,Ronnie,1992,GMC,Rally Wagon 3500,Twila,Trilia,OFF,19,73.323685,25.771315
86,8362217,06-1803873,Nils,2011,Hyundai,Azera,Carina,Mymm,ON,68,77.332024,28.148735
87,7366736,57-1489918,Evanne,1993,Chevrolet,Sportvan G10,Bernadina,Dynabox,ON,56,76.693245,29.138407
88,4096491,01-3103440,Gaelan,2007,Ford,F-Series,Gideon,Quire,ON,50,86.474373,25.37571
89,7453838,47-5611745,Lesli,1987,Honda,Accord,Petronella,Skyvu,OFF,73,78.120407,20.388794
90,9626699,69-1041241,Andie,1992,Volkswagen,Eurovan,Sonny,Pixope,ON,67,86.151115,23.669296
91,4172429,03-5877187,Jere,1994,Audi,riolet,Hurley,Twitternation,ON,37,70.627625,21.761524
92,3205681,59-0947469,Ivette,2002,Audi,A6,Raquel,Oyoyo,ON,99,88.86718,22.657402
93,520585,68-4281952,Cthrine,2012,Infiniti,EX,Datha,BlogXS,ON,91,88.319069,22.700474
94,2334815,69-1244934,Goldarina,1990,Audi,90,Jolie,Mybuzz,OFF,45,85.296013,23.344315
95,2581823,22-4896855,Shamus,2000,BMW,5 Series,Elora,Livetube,ON,39,79.850388,14.146319
96,1301982,79-5779199,Saw,1984,Mazda,626,Ely,Innotype,OFF,14,80.471588,28.078636
97,101395,64-7154500,Sabra,2000,Chevrolet,3500,Jamil,Vinder,OFF,26,78.584602,27.108416
98,6199110,26-4422299,Balduin,2003,Dodge,Dakota Club,Olia,Gabtype,OFF,29,77.986565,9.823619
99,3529653,63-1461456,Quillan,1926,Chrysler,Imperial,Daisi,Flipstorm,OFF,99,79.959244,12.946366
100,2616435,31-3395362,Jackie,2009,Pontiac,Torrent,Madeline,Jabberbean,OFF,33,79.623924,17.143908
101,8820616,44-3028027,Obidiah,2007,Lotus,Elise,Rebecca,Ozu,ON,56,74.742142,13.340881
102,9263176,06-5126202,Emily,1986,Mercury,Grand Marquis,Stesha,Skipstorm,ON,88,78.483093,15.478569
103,3367638,64-2119875,Lovell,2012,Subaru,Impreza,Baldwin,Yombu,ON,47,86.129379,25.416676
104,8293932,49-2167129,Howie,2003,BMW,5 Series,Tanya,Centidel,ON,67,87.744629,21.779188
105,7618487,25-0461299,Anthe,2012,GMC,Sierra,Dennie,Izio,OFF,31,81.775307,21.164993
106,6844618,58-5481073,Rafaelia,1998,Mercedes-Benz,CLK-Class,Stanleigh,Tagfeed,ON,34,88.546867,23.125587
107,5399620,08-0705563,Micah,1998,Ford,Expedition,Garner,Topicshots,ON,11,88.250992,22.511976
108,2393450,92-5160263,Lisette,2000,Audi,A4,See,Kazio,OFF,49,78.621887,12.695032
109,6702281,69-9370561,Vinnie,1997,Saab,9000,Beverlie,Flashpoint,ON,10,81.356804,23.302189
110,3281776,69-1154147,Rhoda,1993,Mercury,Grand Marquis,Shandee,Wikibox,OFF,73,78.100014,9.515625
111,7701815,41-8486121,Matthiew,1985,Audi,Quattro,Fidelio,Roombo,OFF,85,86.119194,20.484348
112,4068773,70-4313452,Lurette,1995,Chevrolet,Cavalier,Marybelle,Twitterbeat,ON,86,84.011787,24.953514
113,2963736,06-2574925,Christoforo,2004,Chevrolet,Express 2500,Abran,Layo,OFF,78,71.770462,21.092159
